City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
241,Waterloo,CA,78.73,clear sky,43.4668,-80.5164,The Walper Hotel
242,Labuhan,ID,79.27,broken clouds,-6.8844,112.2051,DoubleFAG
243,Kavaratti,IN,83.39,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
250,Carutapera,BR,82.51,broken clouds,-1.195,-46.02,Lidera
252,Turiacu,BR,82.76,broken clouds,-1.6633,-45.3717,Pousada Maranata
253,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
255,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
257,Naica,MX,87.93,clear sky,27.85,-105.4833,Departamentos Nicole
260,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
265,Urucara,BR,85.91,light rain,-2.5364,-57.76,Pousada Maria Bonita
266,Itarema,BR,83.73,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
267,Loiza,PR,89.64,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
269,Sabang,ID,81.59,scattered clouds,5.8933,95.3214,Hotel Citra
271,Bombay,IN,85.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
273,Samarai,PG,80.91,scattered clouds,-10.6167,150.6667,Nuli Sapi
283,Pacifica,US,76.68,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
285,Alto Araguaia,BR,75.04,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
289,San Ramon,US,76.14,clear sky,37.7799,-121.978,San Ramon Marriott
293,Korla,CN,87.28,broken clouds,41.7597,86.1469,Gulisitan Hotel
295,Namatanai,PG,78.42,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
300,Riachao,BR,86.65,scattered clouds,-7.3619,-46.6172,Pousada Nordestina
303,Jamame,SO,77.27,clear sky,0.0722,42.7506,0
305,Mersing,MY,76.91,few clouds,2.4312,103.8405,Timotel Hotel
306,Messina,IT,83.75,few clouds,38.1933,15.5497,Hotel Touring
307,Albemarle,US,80.82,clear sky,35.3501,-80.2001,"Holiday Inn Express & Suites Albemarle, an IHG Hotel"
310,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
313,Ternate,ID,79.86,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
314,Funadhoo,MV,83.25,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
315,Kirakira,SB,80.01,overcast clouds,-10.4544,161.9205,SanBiz Lodge
318,Zhangzhou,CN,76.93,overcast clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
320,San Andres,CO,75.22,moderate rain,12.5847,-81.7006,Hotel Arena Blanca
321,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
324,Half Moon Bay,US,78.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
328,Puerto Leguizamo,CO,82.47,overcast clouds,-0.1934,-74.7819,la casona de juancho
332,Pandan,PH,80.96,broken clouds,14.0453,124.1694,Bonifacio Lodge
334,Saint George,US,76.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
337,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
338,Bodhan,IN,83.66,scattered clouds,18.6667,77.9,Shiva Reddy. A
341,Muisne,EC,77.45,light rain,0.6,-80.0333,Quinta Samay
346,Conceicao Do Araguaia,BR,88.61,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
347,Ixtapa,MX,87.22,scattered clouds,20.7,-105.2,hotel la terminal
348,Tiznit,MA,83.61,overcast clouds,29.5833,-9.5,0
349,Jawhar,SO,76.82,broken clouds,2.7809,45.5005,Hotel Shabelle
350,Dhidhdhoo,MV,83.25,broken clouds,6.8833,73.1,Dhidhoo beach
353,Santa Rosalia,MX,84.25,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
355,Ramban,IN,77.09,clear sky,33.25,75.25,Naaz Hotel
358,Raton,US,79.41,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
360,Moctezuma,MX,88.97,clear sky,29.8,-109.6667,Hotel Lobohombo
361,Grand-Bourg,GP,80.8,scattered clouds,15.8835,-61.3148,Coco Beach Resort
365,Tevaitoa,PF,79.65,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
369,Touros,BR,83.41,clear sky,-5.1989,-35.4608,INN NEW HORIZON
370,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
371,Pemangkat,ID,79.48,overcast clouds,1.1667,108.9667,Ramah Kost KITA
373,Dingle,PH,78.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
374,Pocone,BR,80.47,few clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
378,Saint Anthony,US,89.2,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
381,Luganville,VU,78.75,few clouds,-15.5333,167.1667,The Espiritu Hotel
384,Tecoanapa,MX,84.78,scattered clouds,16.5167,-98.75,Hotel Manglares
386,Omboue,GA,76.24,broken clouds,-1.5746,9.2618,Hotel Olako
391,Matara,LK,79.75,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
396,Les Cayes,HT,87.17,broken clouds,18.2,-73.75,Villa Orphee
397,Twentynine Palms,US,83.86,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
401,Anloga,GH,81.84,broken clouds,5.7947,0.8973,Pin Drop Hotel
402,Lazaro Cardenas,MX,85.41,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
407,Ierapetra,GR,82.15,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
408,Meulaboh,ID,75.47,heavy intensity rain,4.1363,96.1285,Kost Pria
417,Pangoa,PE,79.52,few clouds,-12.1167,-73.0,0
419,Aracuai,BR,75.16,overcast clouds,-16.8497,-42.0703,Village das Minas Hotel
425,San Policarpo,PH,77.14,broken clouds,12.1791,125.5072,Agapita M. Nicart
427,Pilar,BR,80.53,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
429,Chihuahua,MX,81.43,scattered clouds,28.5,-106.0,0
430,Kudahuvadhoo,MV,83.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
431,Edremit,TR,85.75,scattered clouds,39.5961,27.0244,Adramis Thermal Hotel
432,Beyneu,KZ,82.74,few clouds,45.3167,55.2,NUR
433,Madera,US,81.97,clear sky,37.1666,-119.8343,0
446,Carlagan,PH,81.12,scattered clouds,14.975,122.0456,Cabatagan Island
447,Kinarut,MY,75.22,few clouds,5.8231,116.0466,Langkah Syabas Beach Resort
451,Lodja,CD,80.71,broken clouds,-3.4833,23.4333,0
452,Uige,AO,82.42,few clouds,-7.6087,15.0613,Hotel Catraio
457,Manali,IN,87.89,broken clouds,13.1667,80.2667,Sarathy Lodge
460,Sciacca,IT,88.03,clear sky,37.5082,13.0881,Hotel Aliai
461,Biak,ID,76.05,overcast clouds,-0.9131,122.8766,Penginapan Kim
464,Kilindoni,TZ,79.34,clear sky,-7.9139,39.6668,Bustani B&B
467,Wajir,KE,87.76,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
470,Da Nang,VN,80.58,few clouds,16.0678,108.2208,Grand Mercure Danang
477,Hambantota,LK,80.62,overcast clouds,6.1241,81.1185,Bungalow 63
481,Ciudad Guayana,VE,87.53,broken clouds,8.3533,-62.6528,Hotel Las Americas
483,Trinidad,BO,76.98,clear sky,-14.8333,-64.9,Hotel Piesta
486,Zahirabad,IN,83.05,scattered clouds,17.6833,77.6167,SSS bachelor's
492,Zhanaozen,KZ,83.57,few clouds,43.3,52.8,K.korabay 28A
493,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
497,Fare,PF,79.81,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
498,Thap Khlo,TH,80.53,overcast clouds,16.16,100.5966,Kaosai Country Club
504,Chabahar,IR,83.64,clear sky,25.2919,60.643,هتل گدروشیا
507,Saint-Francois,FR,87.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
508,Laguna,US,76.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
509,Chazuta,PE,79.65,scattered clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
510,Mormugao,IN,81.66,scattered clouds,15.4,73.8,Coconut Creek Resort
511,Pindiga,NG,89.2,broken clouds,9.9833,10.9333,Accommodation Center
512,Gracac,HR,78.55,scattered clouds,44.3006,15.8547,"Apartment ""ANA"""
517,Teguise,ES,75.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
519,Dakar,SN,86.88,scattered clouds,14.6937,-17.4441,Novotel Dakar
522,Misratah,LY,77.45,clear sky,32.3754,15.0925,Almasa Hotel
526,Prachuap Khiri Khan,TH,83.59,scattered clouds,12.2167,99.75,ผกากรองรีสอร์ท
529,Catuday,PH,78.91,moderate rain,16.2923,119.8062,Benjie's Kubo & Cottages
533,Takoradi,GH,81.46,broken clouds,4.8845,-1.7554,Raybow International Hotel
534,Carauari,BR,82.4,overcast clouds,-4.8828,-66.8958,Hotel Fellip
539,Razole,IN,86.5,few clouds,16.4833,81.8333,Sterling Palavelli Godavari
540,Broome,US,77.7,clear sky,42.2506,-75.833,Chenango Valley State Park
542,Itacarambi,BR,82.49,overcast clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
543,Papara,BR,84.6,clear sky,-3.9839,-38.7273,Bela vista Maranguape
544,Pundaguitan,PH,82.83,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
